t,xP,xR,vP,vR,phiP,phiR,F^intra,F^inter,L^intra,L^inter,tauドットPR,tauPR,tauRB,e2,e4a,e4b,e5,e6,e7,e8
5.783333333333318,47.123665673593734,80,11.50742422754136,,3.4301153946731446,0,4.618845419195711,0,2.4914070905506014,1,,,,0,0,0,0,0,0,0
5.799999999999985,47.31545608,80,11.513642585328979,,3.6719575752900133,0,4.622326475571274,0,2.4908761088551206,1,,,,0,0,0,0,0,0,0
5.816666666666651,47.50735012047494,80,11.51969692248912,,3.913982023592485,0,4.625821555898285,0,2.490302918797333,1,,,,0,0,0,0,0,0,0
5.833333333333318,47.699345069183096,80,11.525577488725999,,4.156189473872941,0,4.6293282593695455,0,2.4896868061578403,1,,,,0,0,0,0,0,0,0
5.8499999999999845,47.89143802732855,80,11.531274503253815,,4.398580534717791,0,4.632844174175056,0,2.4890270576189026,1,,,,0,0,0,0,0,0,0
5.866666666666651,48.08362594,80,11.53677815788111,,4.641155688431368,0,4.636366878,0,2.4883229610478144,1,,,,0,0,0,0,0,0,0
5.883333333333318,48.27590557168077,80,11.54207862,,4.883915290475634,0,4.639893937378505,0,2.4875738057896126,1,,,,0,0,0,0,0,0,0
5.899999999999984,48.468273548685204,80,11.547166037334147,,5.126859569,0,4.643422910020705,0,2.486778882969042,1,,,,0,0,0,0,0,0,0
5.916666666666651,48.66072632,80,11.55203054,,5.369988623954563,0,4.646951343251215,0,2.4859374858017094,1,,,,0,0,0,0,0,0,0
5.933333333333318,48.85326015828883,80,11.556662241342678,,5.613302427313683,0,4.650476775421326,0,2.485048909914331,1,,,,0,0,0,0,0,0,0
5.949999999999984,49.045871195644565,80,11.56105125169728,,5.856800821869577,0,4.653996736177805,0,2.484112453673967,1,,,,0,0,0,0,0,0,0
5.966666666666651,49.238555383172866,80,11.565187671603802,,6.100483521139695,0,4.657508746960877,0,2.483127418526123,1,,,,0,0,0,0,0,0,0
5.983333333333317,49.43130851103291,80,11.569061601652969,,0.061164802,0,4.661010321535393,0,2.4820931093415775,1,,,,0,0,0,0,0,0,0
5.999999999999984,49.624126204393804,80,11.572663145807454,,0.3052147314255135,0,4.664498966555276,0,2.481008834771775,1,,,,0,0,0,0,0,0,0
6.016666666666651,49.817003923490574,80,11.57598241600323,,0.5494473261923007,0,4.6679721821612405,0,2.4798739076126255,1,,,,0,0,0,0,0,0,0
6.033333333333317,50.00993696,80,11.579009537286591,,0.7938617781029552,0,4.6714274626419705,0,2.478687645240235,1,,,,0,0,0,0,0,0,0
6.049999999999984,50.20292045604543,80,11.581737826513669,,1.0384571480765157,0,4.674862553879943,0,2.4774499128110845,1,,,,0,0,0,0,0,0,0
6.066666667,50.39594941982068,80,11.584171527323047,,1.283232379006703,0,4.678276079420659,0,2.4761624433155704,1,,,,0,0,0,0,0,0,0
